artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Widdershins,The Year 2103,62DKor2WpbaHrQ3XXoiEM5,7,0.623,0.59,2,-5.739,1,0.0404,0.495,0.00014,0.174,0.448,76.032,audio_features,62DKor2WpbaHrQ3XXoiEM5,spotify:track:62DKor2WpbaHrQ3XXoiEM5,https://api.spotify.com/v1/tracks/62DKor2WpbaHrQ3XXoiEM5,https://api.spotify.com/v1/audio-analysis/62DKor2WpbaHrQ3XXoiEM5,255347,4
J Balvin,UN DIA (ONE DAY) (Feat. Tainy),0EhpEsp4L0oRGM0vmeaN5e,76,0.571,0.693,6,-8.234,0,0.0545,0.00536,0.0,0.173,0.393,168.169,audio_features,0EhpEsp4L0oRGM0vmeaN5e,spotify:track:0EhpEsp4L0oRGM0vmeaN5e,https://api.spotify.com/v1/tracks/0EhpEsp4L0oRGM0vmeaN5e,https://api.spotify.com/v1/audio-analysis/0EhpEsp4L0oRGM0vmeaN5e,232253,4
015B,Awake But Dreaming (feat. KIMMUSEUM),3SbpyGJ3SLvwE8JBluC1fo,16,0.482,0.574,11,-5.315,1,0.166,0.429,0.0,0.104,0.562,100.022,audio_features,3SbpyGJ3SLvwE8JBluC1fo,spotify:track:3SbpyGJ3SLvwE8JBluC1fo,https://api.spotify.com/v1/tracks/3SbpyGJ3SLvwE8JBluC1fo,https://api.spotify.com/v1/audio-analysis/3SbpyGJ3SLvwE8JBluC1fo,203270,4
Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,72,0.559,0.31,10,-10.445,1,0.0338,0.881,0.0,0.106,0.46,119.845,audio_features,2NmsngXHeC1GQ9wWrzhOMf,spotify:track:2NmsngXHeC1GQ9wWrzhOMf,https://api.spotify.com/v1/tracks/2NmsngXHeC1GQ9wWrzhOMf,https://api.spotify.com/v1/audio-analysis/2NmsngXHeC1GQ9wWrzhOMf,190898,4
2002,The Year,7AE210JnR265UXMSXJx02d,3,0.0808,0.191,1,-15.541,0,0.0389,0.9,0.871,0.126,0.038,82.002,audio_features,7AE210JnR265UXMSXJx02d,spotify:track:7AE210JnR265UXMSXJx02d,https://api.spotify.com/v1/tracks/7AE210JnR265UXMSXJx02d,https://api.spotify.com/v1/audio-analysis/7AE210JnR265UXMSXJx02d,372640,4
Tame Impala,Is It True,6RZmhpvukfyeSURhf4kZ0d,70,0.731,0.664,0,-5.474,1,0.0302,0.00307,0.35,0.133,0.661,118.018,audio_features,6RZmhpvukfyeSURhf4kZ0d,spotify:track:6RZmhpvukfyeSURhf4kZ0d,https://api.spotify.com/v1/tracks/6RZmhpvukfyeSURhf4kZ0d,https://api.spotify.com/v1/audio-analysis/6RZmhpvukfyeSURhf4kZ0d,239267,4
Nymano,False Hope,4HZ8NCMWAY45EwzGaihqN5,12,0.757,0.261,9,-11.532,1,0.129,0.15,0.783,0.088,0.048,169.711,audio_features,4HZ8NCMWAY45EwzGaihqN5,spotify:track:4HZ8NCMWAY45EwzGaihqN5,https://api.spotify.com/v1/tracks/4HZ8NCMWAY45EwzGaihqN5,https://api.spotify.com/v1/audio-analysis/4HZ8NCMWAY45EwzGaihqN5,164000,4
1nonly,Bunny Girl,7KVBqGLGhrEejVokzYd8vF,71,0.77,0.659,6,-8.322,1,0.238,0.283,0.0,0.334,0.504,94.955,audio_features,7KVBqGLGhrEejVokzYd8vF,spotify:track:7KVBqGLGhrEejVokzYd8vF,https://api.spotify.com/v1/tracks/7KVBqGLGhrEejVokzYd8vF,https://api.spotify.com/v1/audio-analysis/7KVBqGLGhrEejVokzYd8vF,166896,4
Cameo Blush,Year 2000 Problem,4jJvPqiw3ek7cFQuNKV6L8,12,0.617,0.926,9,-5.241,0,0.0433,0.0114,0.808,0.157,0.306,133.994,audio_features,4jJvPqiw3ek7cFQuNKV6L8,spotify:track:4jJvPqiw3ek7cFQuNKV6L8,https://api.spotify.com/v1/tracks/4jJvPqiw3ek7cFQuNKV6L8,https://api.spotify.com/v1/audio-analysis/4jJvPqiw3ek7cFQuNKV6L8,304160,4
DJ Khaled,GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,74,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,audio_features,35RJhm1pEovTBwnNR0zWad,spotify:track:35RJhm1pEovTBwnNR0zWad,https://api.spotify.com/v1/tracks/35RJhm1pEovTBwnNR0zWad,https://api.spotify.com/v1/audio-analysis/35RJhm1pEovTBwnNR0zWad,218902,4
